code,description
Flake,Flake
Scraper,Scraper
Core,Core
Biface,Biface
Uniface,Uniface
Projectile,Projectile
Modified_Flake,Modified Flake
Groundstone,Groundstone
Pottery,Pottery
Hearth,Hearth
Burial,Burial
Glass,Glass
Can,Can
Cairn,Cairn
Blind,Blind
Wall ,Wall 
Drive,Drive
Other,Other
