NAME,ALIAS,TYPE,LENGTH,PRECISION,SCALE,DEFAULT,DOMAIN,EDITABLE,ISNULLABLE,REQUIRED,UNIQUE
COMPONENT_ID,COMPONENT_ID,String,30,0,0,,,TRUE,TRUE,FALSE,0
COMPONENT_AGE,COMPONENT_AGE,Integer,0,0,0,,dmn_Resource_Age,TRUE,TRUE,FALSE,0
COMPONENT_CULTURE,COMPONENT_CULTURE,String,50,0,0,,dmn_Culture,TRUE,TRUE,FALSE,0
COMPONENT_TYPE,COMPONENT_TYPE,String,50,0,0,,dmn_Polygon_Type,TRUE,TRUE,FALSE,0
RESOURCE_ID_key,RESOURCE_ID,String,30,0,0,,,TRUE,TRUE,FALSE,0
